id,wineType,fixedAcidity,volatileAcidity,citricAcid,residualSugar,chlorides,freeSulfurDioxide,totalSulfurDioxide,density,pH,sulphates,alcohol
5471,white,6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1
5472,white,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6
5473,white,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9
5474,white,6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6
5475,white,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9
5476,white,6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5
5477,white,7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4
5478,white,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4
5479,white,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1
5480,white,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9
5481,white,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9
5482,white,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8
5483,white,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2
5484,white,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9
5485,white,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5
5486,white,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2
5487,white,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5
5488,white,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9
5489,white,6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8
5490,white,6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4
5491,white,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8
5492,white,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6
5493,white,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2
5494,white,5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2
5495,white,7,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3
5496,white,6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4
5497,white,7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4
5498,white,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11
5499,white,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6
5500,white,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2
5501,white,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5
5502,white,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4
5503,white,5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5
5504,white,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14
5505,white,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5
5506,white,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5
5507,white,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8
5508,white,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2
5509,white,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2
5510,white,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6
5511,white,7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2
5512,white,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5
5513,white,7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1
5514,white,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2
5515,white,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14
5516,white,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6
5517,white,6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4
5518,white,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2
5519,white,6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2
5520,white,7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2
5521,white,7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2
5522,white,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8
5523,white,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1
5524,white,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1
5525,white,8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3
5526,white,6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9
5527,white,6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5
5528,white,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9
5529,white,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9
5530,white,6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1
5531,white,6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3
5532,white,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5
5533,white,8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11
5534,white,7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7
5535,white,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4
5536,white,5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3
5537,white,6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3
5538,white,8.2,0.18,0.38,1.1,0.04,41,92,0.99062,2.88,0.6,12
5539,white,6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11
5540,white,6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3
5541,white,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1
5542,white,7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1
5543,white,6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9
5544,white,6.1,0.27,0.32,6.2,0.048,47,161,0.99281,3.22,0.6,11
5545,white,6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11
5546,white,6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5
5547,white,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7
5548,white,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3
5549,white,6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3
5550,white,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1
5551,white,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8
5552,white,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2
5553,white,8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8
5554,white,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8
5555,white,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2
5556,white,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3
5557,white,7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12
5558,white,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5
5559,white,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5
5560,white,6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8
5561,white,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9
5562,white,7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13
5563,white,6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8
5564,white,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8
5565,white,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2
5566,white,5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5
5567,white,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
5568,white,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5
5569,white,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4
5570,white,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8
5571,white,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4
5572,white,6.8,0.37,0.67,1.5,0.175,16,98,0.99244,3.06,0.56,10.3
5573,white,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
5574,white,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5
5575,white,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9
5576,white,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8
5577,white,6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13
5578,white,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4
5579,white,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4
5580,white,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7
5581,white,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7
5582,white,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9
5583,white,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4
5584,white,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8
5585,white,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9
5586,white,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9
5587,white,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4
5588,white,6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4
5589,white,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9
5590,white,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4
5591,white,6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2
5592,white,6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5
5593,white,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11
5594,white,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11
5595,white,8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1
5596,white,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11
5597,white,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8
5598,white,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5
5599,white,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5
5600,white,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5
5601,white,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5
5602,white,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2
5603,white,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1
5604,white,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3
5605,white,6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1
5606,white,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6
5607,white,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5
5608,white,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2
5609,white,6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8
5610,white,7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3,0.6,11.3
5611,white,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8
5612,white,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5
5613,white,6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8
5614,white,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5
5615,white,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3
5616,white,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2
5617,white,5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4
5618,white,6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5
5619,white,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3
5620,white,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4
5621,white,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2
5622,white,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2
5623,white,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4
5624,white,6,0.28,0.27,4.1,0.046,50,147,0.99126,3.27,0.56,11.6
5625,white,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4
5626,white,7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4
5627,white,6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3
5628,white,5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2
5629,white,6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11
5630,white,6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4
5631,white,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5
5632,white,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2
5633,white,7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1
5634,white,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2
5635,white,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11
5636,white,7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9
5637,white,7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9
5638,white,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5
5639,white,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4
5640,white,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4
5641,white,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3
5642,white,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
5643,white,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
5644,white,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
5645,white,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
5646,white,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9
5647,white,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7
5648,white,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7
5649,white,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3
5650,white,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
5651,white,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7
5652,white,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3
5653,white,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
5654,white,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9
5655,white,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7
5656,white,6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7
5657,white,6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4
5658,white,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7
5659,white,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3
5660,white,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10
5661,white,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10
5662,white,7.4,0.36,0.32,1.9,0.036,27,119,0.99196,3.15,0.49,11.2
5663,white,6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7
5664,white,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5
5665,white,6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9
5666,white,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8
5667,white,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6
5668,white,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8
5669,white,6.2,0.24,0.28,12.2,0.049,54,133,0.9952,3.19,0.37,10.7
5670,white,6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9
5671,white,7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12
5672,white,7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4
5673,white,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5
5674,white,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9
5675,white,5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4
5676,white,7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4
5677,white,5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11
5678,white,5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11
5679,white,5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4
5680,white,5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8
5681,white,5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4
5682,white,5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6
5683,white,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1
5684,white,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5
5685,white,7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4
5686,white,7,0.2,0.4,1.1,0.058,30,93,0.99322,3.03,0.38,9.2
5687,white,6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7
5688,white,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3
5689,white,6.8,0.27,0.24,4.6,0.098,36,127,0.99412,3.15,0.49,9.6
5690,white,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9
5691,white,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10
5692,white,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2
5693,white,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9
5694,white,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8
5695,white,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9
5696,white,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5
5697,white,6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10
5698,white,6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11
5699,white,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2
5700,white,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6
5701,white,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10
5702,white,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10
5703,white,5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7
5704,white,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5
5705,white,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1
5706,white,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7
5707,white,6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3
5708,white,6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2
5709,white,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3
5710,white,7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6
5711,white,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3
5712,white,6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1
5713,white,6.1,0.17,0.29,1.1,0.041,32,92,0.99036,3.26,0.57,11.2
5714,white,7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3
5715,white,7.3,0.26,0.32,1.2,0.041,29,94,0.98978,3.07,0.45,12
5716,white,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8
5717,white,6.2,0.35,0.2,18.1,0.069,33,158,0.99908,3.15,0.5,8.8
5718,white,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12
5719,white,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12
5720,white,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9
5721,white,6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3
5722,white,6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7
5723,white,6.6,0.44,0.32,3,0.095,13,75,0.98954,3.1,0.63,12.8
5724,white,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5
5725,white,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10
5726,white,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10
5727,white,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3
5728,white,6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4
5729,white,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4
5730,white,6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2
5731,white,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
5732,white,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
5733,white,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8
5734,white,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5
5735,white,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3
5736,white,5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8
5737,white,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
5738,white,6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7
5739,white,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11
5740,white,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4
5741,white,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4
5742,white,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7
5743,white,6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9
5744,white,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4
5745,white,6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4
5746,white,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7
5747,white,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11
5748,white,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6
5749,white,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9
5750,white,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4
5751,white,7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5
5752,white,6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6
5753,white,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5
5754,white,6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6
5755,white,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5
5756,white,6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6
5757,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5758,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5759,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5760,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5761,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5762,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5763,white,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4
5764,white,7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7
5765,white,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12
5766,white,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1
5767,white,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1
5768,white,6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4
5769,white,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6
5770,white,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
5771,white,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12
5772,white,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6
5773,white,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3
5774,white,6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3
5775,white,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1
5776,white,6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2
5777,white,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6
